date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1970-01-01,6.16246,3.9,8.98,7.79,4.88506,0.32279,-6.34748,-0.1147585303258982,-20.46843,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-02-01,6.42458,4.2,8.98,7.24,4.85714,0.32279,-6.34748,-0.1408913276188594,-20.46843,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-03-01,6.09418,4.4,7.76,7.07,4.26136,0.32279,-6.34748,-0.10726722681874,-17.59563,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-04-01,6.06061,4.6,8.1,7.39,4.24929,0.16112,-5.58762,-0.1511964562585311,-17.59563,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-05-01,6.04396,4.8,7.95,7.91,3.66197,0.16112,-5.58762,-0.272987535719011,-17.59563,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-06-01,6.01093,4.9,7.61,7.84,3.36134,0.16112,-5.58762,-0.2374312449728237,-10.18519,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-07-01,5.70652,5.0,7.21,7.46,3.63128,0.42134,-5.96048,-0.2005372829742824,-10.18519,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-08-01,5.69106,5.1,6.62,7.53,3.36134,0.42134,-5.96048,-0.1725965084949567,-10.18519,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-09-01,5.66038,5.4,6.29,7.39,3.63128,0.42134,-5.96048,-0.1283765620008313,-9.15935,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-10-01,5.63003,5.5,6.2,7.33,3.34262,-0.16735,-6.43554,-0.1166812318618036,-9.15935,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-11-01,5.6,5.9,5.6,6.84,2.77008,-0.16735,-6.43554,-0.1238421147911964,-9.15935,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1970-12-01,5.57029,6.1,4.9,6.39,2.20386,-0.16735,-6.43554,-0.011712816503661,0.0,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1971-01-01,5.27704,5.9,4.14,6.24,2.19178,2.69716,7.68451,0.0349667125991886,0.0,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-02-01,4.72441,5.9,3.72,6.11,2.7248,2.69716,7.68451,0.1141281946315786,0.0,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-03-01,4.43864,6.0,3.71,5.7,2.99728,2.69716,7.68451,0.123503995183535,6.36605,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
