date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,oil_price_pc1,recessions
1970-01-01,6.16246,3.9,8.98,7.79,4.88506,0.32279,-6.34748,-0.11475853032589822,-20.46843,9.12052,1.0
1970-02-01,6.42458,4.2,8.98,7.24,4.85714,0.32279,-6.34748,-0.14089132761885947,-20.46843,9.12052,1.0
1970-03-01,6.09418,4.4,7.76,7.07,4.26136,0.32279,-6.34748,-0.10726722681874001,-17.59563,3.07692,1.0
1970-04-01,6.06061,4.6,8.1,7.39,4.24929,0.16112,-5.58762,-0.15119645625853118,-17.59563,0.0,1.0
1970-05-01,6.04396,4.8,7.95,7.91,3.66197,0.16112,-5.58762,-0.272987535719011,-17.59563,0.0,1.0
1970-06-01,6.01093,4.9,7.61,7.84,3.36134,0.16112,-5.58762,-0.23743124497282375,-10.18519,0.0,1.0
1970-07-01,5.70652,5.0,7.21,7.46,3.63128,0.42134,-5.96048,-0.20053728297428242,-10.18519,-1.19403,1.0
1970-08-01,5.69106,5.1,6.62,7.53,3.36134,0.42134,-5.96048,-0.17259650849495678,-10.18519,-1.19403,1.0
1970-09-01,5.66038,5.4,6.29,7.39,3.63128,0.42134,-5.96048,-0.12837656200083136,-9.15935,-1.19403,1.0
1970-10-01,5.63003,5.5,6.2,7.33,3.34262,-0.16735,-6.43554,-0.11668123186180368,-9.15935,-1.19403,1.0
1970-11-01,5.6,5.9,5.6,6.84,2.77008,-0.16735,-6.43554,-0.12384211479119644,-9.15935,-1.19403,1.0
1970-12-01,5.57029,6.1,4.9,6.39,2.20386,-0.16735,-6.43554,-0.011712816503661072,0.0,6.26866,0.0
1971-01-01,5.27704,5.9,4.14,6.24,2.19178,2.69716,7.68451,0.0349667125991886,0.0,6.26866,0.0
1971-02-01,4.72441,5.9,3.72,6.11,2.7248,2.69716,7.68451,0.11412819463157864,0.0,6.26866,0.0
1971-03-01,4.43864,6.0,3.71,5.7,2.99728,2.69716,7.68451,0.12350399518353505,6.36605,6.26866,0.0
1971-04-01,4.15584,5.9,4.16,5.83,2.98913,3.10644,10.4998,0.1989156497399458,6.36605,6.26866,0.0
1971-05-01,4.40415,5.9,4.63,6.39,3.53261,3.10644,10.4998,0.3363212034069776,6.36605,6.26866,0.0
1971-06-01,4.38144,5.9,4.91,6.52,3.52304,3.10644,10.4998,0.318623555623069,5.79897,6.26866,0.0
1971-07-01,4.37018,6.0,5.31,6.73,3.2345,3.00528,10.04961,0.30715129892741233,5.79897,7.55287,0.0
1971-08-01,4.35897,6.1,5.57,6.58,4.33604,3.00528,10.04961,0.24783044611761773,5.79897,7.55287,0.0
1971-09-01,4.08163,6.0,5.55,6.14,3.2345,3.00528,10.04961,0.20664795576995032,13.25967,7.55287,0.0
1971-10-01,3.80711,5.8,5.2,5.93,3.2345,4.36555,13.09047,0.15318014821980452,13.25967,7.55287,0.0
1971-11-01,3.53535,6.0,4.91,5.81,3.2345,4.36555,13.09047,0.1007049944088676,13.25967,7.55287,0.0
1971-12-01,3.26633,6.0,4.14,5.93,4.04313,4.36555,13.09047,0.10123360695500572,18.82202,0.0,0.0
1972-01-01,3.25815,5.8,3.51,5.95,4.02145,3.47251,7.95628,0.1048979939808059,18.82202,0.0,0.0
1972-02-01,3.7594,5.7,3.3,6.08,3.97878,3.47251,7.95628,0.0837268898714203,18.82202,0.0,0.0
1972-03-01,3.5,5.8,3.83,6.07,3.7037,3.47251,7.95628,0.08121529714806397,10.47382,0.0,0.0
1972-04-01,3.49127,5.7,4.17,6.19,3.69393,5.25138,10.94047,0.05590978742622155,10.47382,0.0,0.0
1972-05-01,3.22581,5.7,4.27,6.13,3.67454,5.25138,10.94047,0.05905948873295097,10.47382,0.0,0.0
1972-06-01,2.96296,5.7,4.46,6.11,3.9267,5.25138,10.94047,0.0837202409648028,15.95615,0.0,0.0
1972-07-01,2.95567,5.6,4.55,6.11,4.43864,5.37836,11.16703,0.08316469824832251,15.95615,0.0,0.0
1972-08-01,2.9484,5.6,4.81,6.21,4.15584,5.37836,11.16703,0.14157622939615133,15.95615,0.0,0.0
1972-09-01,3.18627,5.5,4.87,6.55,4.96084,5.37836,11.16703,0.10054018249535757,10.60976,0.0,0.0
1972-10-01,3.17848,5.6,5.05,6.48,4.69974,6.89181,14.95984,0.1261017344415607,10.60976,0.0,0.0
1972-11-01,3.41463,5.3,5.06,6.28,5.22193,6.89181,14.95984,0.24000419439114573,10.60976,0.0,0.0
1972-12-01,3.40633,5.2,5.33,6.36,6.47668,6.89181,14.95984,0.18481845431893884,-11.74569,0.0,0.0
1973-01-01,3.64078,4.9,5.94,6.46,7.21649,7.56118,14.17362,0.14640409945950372,-11.74569,0.0,0.0
1973-02-01,3.86473,5.0,6.58,6.64,8.16327,7.56118,14.17362,0.084767745642641,-11.74569,0.0,0.0
1973-03-01,4.83092,4.9,7.09,6.71,10.71429,7.56118,14.17362,0.043875757174396623,-13.09255,0.0,0.0
1973-04-01,5.3012,5.0,7.12,6.67,10.94148,6.31955,12.64208,0.013445325729222635,-13.09255,0.0,0.0
1973-05-01,5.52885,4.9,7.84,6.85,12.65823,6.31955,12.64208,-0.003956586225769554,-13.09255,0.0,0.0
1973-06-01,5.9952,4.9,8.49,6.9,14.60957,6.31955,12.64208,-0.03014238956201698,-24.36975,0.0,0.0
1973-07-01,5.74163,4.8,10.4,7.13,12.25,4.77135,7.03783,-0.01280433555794569,-24.36975,0.0,0.0
1973-08-01,7.39857,4.8,10.5,7.4,18.45387,4.77135,7.03783,-0.0649310516597833,-24.36975,21.06742,0.0
1973-09-01,7.36342,4.8,10.78,7.09,16.16915,4.77135,7.03783,-0.03459415747919359,-15.65601,21.06742,0.0
1973-10-01,8.05687,4.6,10.01,6.79,15.46135,4.02406,10.1597,0.0025704112096327503,-15.65601,21.06742,0.0
1973-11-01,8.25472,4.8,10.03,6.73,15.38462,4.02406,10.1597,-0.11312022487182916,-15.65601,21.06742,0.0
1973-12-01,8.94118,4.9,9.95,6.74,15.32847,4.02406,10.1597,-0.19330959412431137,-24.54212,21.06742,1.0
1974-01-01,9.60187,5.1,9.65,6.99,17.78846,0.639,-1.88141,-0.1884102849185374,-24.54212,183.98876,1.0
1974-02-01,10.0,5.2,8.97,6.96,17.92453,0.639,-1.88141,-0.18141458235127317,-24.54212,183.98876,1.0
1974-03-01,10.13825,5.1,9.35,7.21,16.58986,0.639,-1.88141,-0.1332237366072293,-6.36364,183.98876,1.0
1974-04-01,10.06865,5.1,10.51,7.51,16.97248,-0.20826,-6.2684,-0.16157760572941582,-6.36364,183.98876,1.0
1974-05-01,10.70615,5.1,11.31,7.58,16.40449,-0.20826,-6.2684,-0.16370403970492364,-6.36364,183.98876,1.0
1974-06-01,10.85973,5.4,11.93,7.54,14.28571,-0.20826,-6.2684,-0.1428886111276224,-10.55556,183.98876,1.0
1974-07-01,11.53846,5.5,12.92,7.81,20.26726,-0.62904,-7.78265,-0.217464448246245,-10.55556,183.98876,1.0
